,prompt,code,answer
0,"What is the angular separation between two celestial objects located at (RA = 73.56, Dec = -52.22) and (RA = 85.68, Dec = -74.73) using Astropy?","[EOL]from astropy.coordinates import SkyCoord[EOL][EOL]ra1 = 73.56  [EOL]dec1 = -52.22  [EOL]ra2 = 85.68 [EOL]dec2 = -74.73  [EOL]coord1 = SkyCoord(ra=ra1, dec=dec1, unit=""deg"", frame=""icrs"")[EOL]coord2 = SkyCoord(ra=ra2, dec=dec2, unit=""deg"", frame=""icrs"")[EOL]angular_sep = coord1.separation(coord2)[EOL]answer = angular_sep[EOL]",23d02m32.19653873s
1,A star located at a distance of 100 parsecs has an apparent magnitude of 6.2. Calculate its absolute magnitude using Astropy.,[EOL]from astropy import units as u[EOL]import numpy as np[EOL]from astropy.constants import L_sun[EOL][EOL]apparent_mag = 6.2[EOL]distance = 50 * u.pc[EOL]absolute_mag = apparent_mag - 5 * (np.log10(distance / u.pc) - 1)[EOL]answer = absolute_mag[EOL],2.7051499783199064
2,A galaxy is observed to have a redshift of 0.03257151978937774. Calculate its recessional velocity using Astropy.,[EOL]from astropy.cosmology import Planck18 as cosmo[EOL]from astropy import units as u[EOL][EOL]redshift = 0.03257151978937774[EOL]recessional_velocity = cosmo.H0 * redshift * cosmo.comoving_distance(redshift)[EOL]answer = recessional_velocity.to(u.km/u.s)[EOL],315.61817635048203 km / s
3,A galaxy is observed to have a redshift of 0.028242251117154407. Calculate its recessional velocity using Astropy.,[EOL]from astropy.cosmology import Planck18 as cosmo[EOL]from astropy import units as u[EOL][EOL]redshift = 0.028242251117154407[EOL]recessional_velocity = cosmo.H0 * redshift * cosmo.comoving_distance(redshift)[EOL]answer = recessional_velocity.to(u.km/u.s)[EOL],237.53717982687317 km / s
4,"What is the angular separation between two celestial objects located at (RA = 75.58, Dec = 22.29) and (RA = 90.17, Dec = 23.25) using Astropy?","[EOL]from astropy.coordinates import SkyCoord[EOL][EOL]ra1 = 75.58  [EOL]dec1 = 22.29  [EOL]ra2 = 90.17 [EOL]dec2 = 23.25  [EOL]coord1 = SkyCoord(ra=ra1, dec=dec1, unit=""deg"", frame=""icrs"")[EOL]coord2 = SkyCoord(ra=ra2, dec=dec2, unit=""deg"", frame=""icrs"")[EOL]angular_sep = coord1.separation(coord2)[EOL]answer = angular_sep[EOL]",13d28m53.22192584s
5,"What is the angular separation between two celestial objects located at (RA = 98.05, Dec = -11.07) and (RA = 24.36, Dec = -30.42) using Astropy?","[EOL]from astropy.coordinates import SkyCoord[EOL][EOL]ra1 = 98.05  [EOL]dec1 = -11.07  [EOL]ra2 = 24.36 [EOL]dec2 = -30.42  [EOL]coord1 = SkyCoord(ra=ra1, dec=dec1, unit=""deg"", frame=""icrs"")[EOL]coord2 = SkyCoord(ra=ra2, dec=dec2, unit=""deg"", frame=""icrs"")[EOL]angular_sep = coord1.separation(coord2)[EOL]answer = angular_sep[EOL]",70d26m03.36125234s
6,A galaxy is observed to have a redshift of 0.031905586829617076. Calculate its recessional velocity using Astropy.,[EOL]from astropy.cosmology import Planck18 as cosmo[EOL]from astropy import units as u[EOL][EOL]redshift = 0.031905586829617076[EOL]recessional_velocity = cosmo.H0 * redshift * cosmo.comoving_distance(redshift)[EOL]answer = recessional_velocity.to(u.km/u.s)[EOL],302.89232414223807 km / s
7,"Convert the equatorial coordinates (RA = 64.94, Dec = 22.3) of a celestial object to Galactic coordinates using Astropy. What are the Galactic coordinates (l and b)?","[EOL]from astropy.coordinates import SkyCoord[EOL][EOL]ra = 64.94  [EOL]dec = 22.3 [EOL]equatorial_coord = SkyCoord(ra=ra, dec=dec, unit=""deg"", frame=""icrs"")[EOL]galactic_coord = equatorial_coord.transform_to('galactic')[EOL]galactic_l = galactic_coord.l.deg  [EOL]galactic_b = galactic_coord.b.deg  [EOL]answer = (galactic_l, galactic_b)[EOL]","(173.65149201955037, -19.451764134607156)"
8,"What is the angular separation between two celestial objects located at (RA = 23.47, Dec = -41.45) and (RA = 26.35, Dec = -79.92) using Astropy?","[EOL]from astropy.coordinates import SkyCoord[EOL][EOL]ra1 = 23.47  [EOL]dec1 = -41.45  [EOL]ra2 = 26.35 [EOL]dec2 = -79.92  [EOL]coord1 = SkyCoord(ra=ra1, dec=dec1, unit=""deg"", frame=""icrs"")[EOL]coord2 = SkyCoord(ra=ra2, dec=dec2, unit=""deg"", frame=""icrs"")[EOL]angular_sep = coord1.separation(coord2)[EOL]answer = angular_sep[EOL]",38d29m06.92796714s
9,Calculate the orbital period of a planet orbiting a star located at a distance of 10 parsecs using Astropy.,"[EOL]from astropy import units as u[EOL]import numpy as np[EOL]from astropy.constants import G, M_sun[EOL][EOL]distance = 10 * u.pc[EOL]star_mass = 1 * M_sun[EOL]orbital_period = (2 * np.pi * (distance**3 / (G * star_mass))**0.5).to(u.yr)[EOL]answer = orbital_period[EOL]",2962415027.4719462 yr
10,"Given a star with an absolute magnitude of 4.2, calculate the apparent magnitude at a distance of 50 parsecs using Astropy.",[EOL]from astropy import units as u[EOL]import numpy as np[EOL]from astropy.constants import L_sun[EOL][EOL]absolute_mag = 4.2[EOL]distance = 50 * u.pc[EOL]apparent_mag = absolute_mag + 5 * (np.log10(distance / u.pc) - 1)[EOL]answer = apparent_mag[EOL],7.694850021680094
11,What is the name of the celestial object located at RA = 13.96 and Dec = 63.04 using Astropy?,"[EOL]from astropy.coordinates import SkyCoord[EOL][EOL]ra = 13.96  [EOL]dec = 63.04 [EOL]equatorial_coord = SkyCoord(ra=ra, dec=dec, unit=""deg"", frame=""icrs"")[EOL]object_name = equatorial_coord.to_string('hmsdms')[EOL]answer = object_name[EOL]",00h55m50.4s +63d02m24s
12,"What is the angular separation between two celestial objects located at (RA = 39.69, Dec = -33.79) and (RA = 82.9, Dec = -56.84) using Astropy?","[EOL]from astropy.coordinates import SkyCoord[EOL][EOL]ra1 = 39.69  [EOL]dec1 = -33.79  [EOL]ra2 = 82.9 [EOL]dec2 = -56.84  [EOL]coord1 = SkyCoord(ra=ra1, dec=dec1, unit=""deg"", frame=""icrs"")[EOL]coord2 = SkyCoord(ra=ra2, dec=dec2, unit=""deg"", frame=""icrs"")[EOL]angular_sep = coord1.separation(coord2)[EOL]answer = angular_sep[EOL]",37d09m52.78382949s
13,A galaxy is observed to have a redshift of 0.028371142179807952. Calculate its recessional velocity using Astropy.,[EOL]from astropy.cosmology import Planck18 as cosmo[EOL]from astropy import units as u[EOL][EOL]redshift = 0.028371142179807952[EOL]recessional_velocity = cosmo.H0 * redshift * cosmo.comoving_distance(redshift)[EOL]answer = recessional_velocity.to(u.km/u.s)[EOL],239.7029195458774 km / s
